REG_ANS;ano;trimestre;VL_SALDO_FINAL
311294;2025;3;1008496244.78
311359;2025;1;182022984.32
311359;2025;2;360320353.33
311359;2025;3;566083453.67
311375;2023;4;1320052163.26
311375;2025;1;440014176.79
311375;2025;2;838490048.77
311375;2025;3;1277953086.3
311391;2023;4;82735416.41
311391;2025;1;25848949.29
311391;2025;2;48570620.96
311391;2025;3;69423053.59
311472;2023;4;274744882.53
311472;2025;3;51387584.64
311618;2023;4;702387021.36
311618;2025;1;241486899.5
311618;2025;2;447691698.6
311618;2025;3;655582630.71
311669;2023;4;10671265.87
311715;2023;4;1048940769.43
311715;2025;1;331228302.36
311715;2025;2;605739865.57
311715;2025;3;924445626.61
311847;2023;4;2245760514.62
311847;2025;1;781777461.29
311847;2025;2;1426192054.16
311847;2025;3;2115813249.65
311944;2023;4;221975680.24
311944;2025;1;72956677.4
311944;2025;2;132689668.14
311944;2025;3;200794955.9
311961;2023;4;1595498645.64
311961;2025;1;821851173.93
311961;2025;2;1034708226.83
311961;2025;3;1579330301.84
312126;2023;4;15048656852.55
312126;2025;1;5008621703.11
312126;2025;2;9129305717.67
312126;2025;3;13476382536.1
312282;2023;4;315448447.0
312282;2025;1;97474564.46
312282;2025;2;176421041.58
312282;2025;3;275490631.65
312321;2023;4;20081014.89
312347;2023;4;1135527403.6
312347;2025;1;416271353.64
312347;2025;2;701224453.92
312347;2025;3;1010668480.65
312363;2023;4;940472363.92
312363;2025;1;13219686030.41
312363;2025;2;21765546586.52
312363;2025;3;29670403182.22
312592;2023;4;858405620.84
312592;2025;1;278527266.68
312592;2025;2;502120662.92
312592;2025;3;727704207.81
312720;2023;4;4135577058.08
312720;2025;1;1585159352.05
312720;2025;2;2867279417.99
312720;2025;3;4357826124.93
312851;2023;4;5850112674.85
312851;2025;1;2084049808.42
312851;2025;2;3705653488.31
312851;2025;3;5475233287.8
313084;2023;4;346443917.27
313084;2025;1;139993261.89
313084;2025;2;243205213.67
313084;2025;3;347024363.24
313149;2023;4;71766639.43
313149;2025;1;28797207.95
313149;2025;2;47955329.75
313149;2025;3;66940461.37
313211;2023;4;814851380.26
313211;2025;1;277737142.62
313211;2025;2;549199368.37
313211;2025;3;788493036.91
313475;2023;4;81453385.1
313475;2025;1;32969167.19
313475;2025;2;56614425.01
313475;2025;3;86089055.45
313751;2023;4;292101798.1
313751;2025;1;91987576.79
313751;2025;2;170722954.56
313751;2025;3;256003101.11
313807;2023;4;11632879.71
313955;2023;4;150738200.58
313971;2023;4;3681982053.77
313971;2025;3;811295776.53
314099;2023;4;1444626614.54
314099;2025;1;535039272.82
314099;2025;2;959563011.1
314099;2025;3;1402555842.09
314218;2023;4;4722525144.71
314218;2025;1;1495023662.46
314218;2025;2;2761177775.01
314218;2025;3;4024291541.48
314242;2023;4;271670668.95
314242;2025;1;86948686.46
314242;2025;2;181880943.2
314242;2025;3;273370489.3
314251;2023;4;498277925.94
314251;2025;1;165552030.4
314251;2025;2;299297294.48
314251;2025;3;439883877.03
314315;2023;4;84163044.85
314315;2025;1;24204582.88
314315;2025;2;55080412.45
314315;2025;3;83738946.44
314366;2023;4;24222482.6
314366;2025;1;11257675.01
314366;2025;2;19670767.24
314366;2025;3;28614735.88
314587;2023;4;296125140.74
314587;2025;1;102228043.04
314587;2025;2;186853995.29
314587;2025;3;282944034.35
314668;2023;4;1011331521.87
314668;2025;1;478231726.49
314668;2025;2;908659390.25
314668;2025;3;1286796625.43
314706;2023;4;97763415.55
314706;2025;1;29544185.41
314706;2025;2;56169407.5
314706;2025;3;86521127.5
314781;2023;4;197339838.32
314781;2025;1;70832528.13
314781;2025;2;127674635.05
314781;2025;3;197359385.54
314871;2023;4;22342386.36
315044;2023;4;1535560159.86
315044;2025;1;475791480.06
315044;2025;2;940224663.74
315044;2025;3;1385671352.13
315265;2023;4;515970666.36
315265;2025;1;193087317.28
315265;2025;2;346353806.97
315265;2025;3;498208266.65
315478;2023;4;11197429910.97
315478;2025;1;3546788221.51
315478;2025;2;6604940302.79
315478;2025;3;9619214822.26
315494;2023;4;251746092.63
315494;2025;1;90566681.3
315494;2025;2;162730995.65
315494;2025;3;252492821.41
315567;2023;4;1201983230.55
315567;2025;1;358607983.42
315567;2025;2;705383854.67
315567;2025;3;1030113116.6
315583;2025;1;105732644.38
315583;2025;2;145199021.26
315583;2025;3;194908091.63
315648;2023;4;301133419.5
315648;2025;1;107060603.33
315648;2025;2;187445262.19
315648;2025;3;276840799.02
315729;2023;4;4067422132.03
315729;2025;1;1340127651.92
315729;2025;2;2592690539.19
315729;2025;3;3876270951.12
315796;2023;4;3183587215.91
315796;2025;1;996361510.96
315796;2025;2;1908900037.46
315796;2025;3;2940197978.01
315818;2023;4;5420927.78
316148;2023;4;809968269.34
316148;2025;1;267643996.4
316148;2025;2;510419586.25
316148;2025;3;772128351.43
316458;2023;4;176868207.16
316458;2025;1;63230184.58
316458;2025;2;115187701.13
316458;2025;3;166340811.21
316849;2023;4;58363102.56
316849;2025;1;15012114.23
316849;2025;2;28876454.09
316849;2025;3;52129614.14
316873;2023;4;959475895.99
316873;2025;1;305853842.29
316873;2025;2;567398963.46
316873;2025;3;835267510.59
316881;2023;4;885308813.48
316881;2025;1;367490951.81
316881;2025;2;647977656.85
316881;2025;3;944443421.23
316903;2023;4;1740009.06
316903;2025;1;1823832.9
316903;2025;2;2801780.57
316903;2025;3;3768169.7
316997;2023;4;49718588.41
316997;2025;1;14791433.07
316997;2025;2;28126821.02
316997;2025;3;42949920.59
317012;2023;4;431949483.03
317012;2025;1;141441033.34
317012;2025;2;250761480.38
317012;2025;3;368831169.33
317144;2023;4;17940403229.26
317144;2025;1;5652226627.67
317144;2025;2;10700731404.76
317144;2025;3;15907644657.55
317233;2023;4;2992283330.06
317233;2025;1;621860397.57
317233;2025;2;1300765720.34
317233;2025;3;2044284417.72
317632;2023;4;2197261917.31
317632;2025;1;659006979.99
317632;2025;2;1295315121.88
317632;2025;3;1950652801.86
317896;2023;4;478679348.74
317896;2025;1;135357868.77
317896;2025;2;200619756.08
317896;2025;3;280644550.75
318035;2023;4;352687283.73
318035;2025;1;143130899.02
318035;2025;2;255924327.18
318035;2025;3;379915176.92
318213;2023;4;413846456.0
318213;2025;1;140320247.85
